area,rooms,bathroom,parking spaces,floor,animal,furniture,total,city_Belo Horizonte,city_Campinas,city_Porto Alegre,city_Rio de Janeiro,city_São Paulo
154,4,2,2,2,1,0,4608,1,0,0,0,0
108,3,1,1,3,0,1,17830,0,0,0,1,0
147,3,2,2,4,1,1,5373,0,0,0,0,1
365,3,4,3,15,1,0,17100,0,0,0,0,1
109,3,2,1,2,1,1,3333,0,0,1,0,0
148,3,3,2,3,1,1,2922,1,0,0,0,0
250,3,4,2,0,1,0,6166,0,0,0,0,1
79,2,1,1,3,0,0,1283,0,1,0,0,0
66,2,1,1,9,1,0,3607,0,0,0,1,0
54,1,1,1,6,0,0,1419,0,1,0,0,0
87,3,1,1,6,1,0,2010,0,1,0,0,0
640,4,4,4,12,1,1,17310,0,0,0,0,1
71,2,1,0,3,1,1,1667,0,0,0,0,1
35,1,1,1,6,0,1,2242,0,0,0,0,1
57,2,2,1,2,0,1,2964,0,0,0,0,1
38,1,1,0,8,0,0,1741,0,0,0,0,1
70,2,2,1,3,1,0,4860,0,0,0,1,0
350,2,4,8,0,0,0,3800,0,0,0,0,1
300,4,3,2,5,0,1,15410,0,0,0,1,0
80,2,2,0,8,1,0,1891,0,0,1,0,0
160,3,3,1,4,1,0,4305,0,0,0,1,0
117,3,2,2,10,1,0,7312,0,0,1,0,0
112,3,2,2,3,1,1,5060,0,0,1,0,0
100,2,2,1,0,1,0,1899,0,0,0,1,0
160,4,2,1,2,1,0,5785,0,0,0,1,0
68,2,1,0,3,1,0,1000,0,0,1,0,0
530,4,4,4,4,0,0,10560,0,0,0,0,1
210,3,2,2,0,1,1,3654,0,0,0,0,1
33,1,1,0,8,0,1,4025,0,0,0,1,0
40,2,1,0,3,1,0,1462,0,0,0,0,1
200,5,5,8,0,1,0,7116,1,0,0,0,0
58,2,1,2,10,1,0,1761,0,0,0,0,1
120,3,3,2,6,1,0,5378,0,0,0,0,1
162,3,4,0,0,1,0,3516,0,0,0,0,1
301,4,5,4,3,1,1,18520,0,0,0,0,1
40,1,1,0,1,0,0,2011,0,0,0,0,1
135,3,2,1,2,1,0,5468,0,0,0,1,0
135,3,2,1,4,1,0,4989,0,0,0,0,1
102,3,2,2,8,1,1,6956,0,0,1,0,0
76,2,2,2,6,1,0,2519,0,0,0,0,1
180,4,1,1,13,1,0,11430,0,0,0,0,1
72,2,2,1,0,1,0,1337,1,0,0,0,0
128,2,3,1,4,1,0,5234,0,0,0,0,1
44,1,1,0,4,1,1,3012,0,0,0,0,1
189,3,3,1,12,1,0,8388,0,0,0,0,1
450,6,2,8,0,1,0,4269,0,0,1,0,0
286,4,4,5,0,1,0,12090,0,0,0,0,1
276,4,6,4,10,1,1,9721,0,0,0,0,1
60,1,2,1,9,0,1,4693,0,0,0,0,1
40,1,1,0,0,0,0,942,0,0,0,0,1
57,2,2,1,4,1,0,2424,0,0,0,1,0
45,1,1,1,3,1,0,1167,0,1,0,0,0
42,1,1,1,12,0,1,4279,0,0,0,0,1
68,2,1,1,2,1,0,1717,0,0,0,1,0
120,3,2,1,4,1,0,6867,0,0,0,1,0
360,4,4,2,4,1,0,14530,0,0,0,0,1
140,2,1,0,0,1,0,1842,0,0,0,0,1
16,1,1,0,1,0,0,922,0,0,0,0,1
110,3,1,1,13,1,0,1997,0,1,0,0,0
69,2,1,1,7,0,0,1538,0,1,0,0,0
59,2,2,0,2,0,1,2041,1,0,0,0,0
336,4,4,6,0,1,0,8743,0,0,0,0,1
210,4,4,3,5,1,1,8781,0,0,0,0,1
242,4,5,4,4,1,1,16350,0,0,0,0,1
28,1,1,0,4,1,0,930,0,0,1,0,0
220,4,3,3,2,0,1,14530,0,0,0,0,1
62,3,2,1,1,0,0,2192,0,0,1,0,0
111,3,2,2,11,1,1,4971,0,0,0,1,0
159,3,2,2,1,1,0,3866,0,1,0,0,0
70,2,2,0,5,1,1,3069,0,0,0,1,0
150,3,2,2,2,1,0,3591,0,0,0,0,1
50,1,1,1,17,1,1,4953,0,0,0,0,1
450,3,3,8,0,1,1,5491,0,0,0,0,1
64,2,1,1,2,1,0,1192,1,0,0,0,0
600,5,7,5,0,1,0,5434,0,0,0,0,1
70,1,1,0,8,1,0,3780,0,0,0,0,1
76,3,2,0,6,1,0,2511,0,0,0,0,1
280,3,3,4,0,1,0,7453,0,0,0,0,1
172,2,4,3,23,1,0,13320,0,0,0,0,1
246,3,4,4,3,1,1,16700,0,0,0,0,1
64,2,1,1,8,1,0,2021,0,0,0,0,1
80,3,2,1,0,1,0,2250,0,0,0,0,1
87,3,1,1,7,1,0,2769,0,0,0,1,0
50,1,1,1,7,1,0,1062,0,0,1,0,0
50,1,1,0,6,1,0,1232,0,0,1,0,0
30,1,1,0,0,0,0,2045,0,0,0,0,1
43,1,1,0,6,1,0,1739,0,0,0,0,1
300,3,4,0,0,1,1,12150,0,0,0,0,1
58,1,2,1,10,0,0,1650,0,1,0,0,0
30,1,1,1,14,0,0,3079,0,0,0,0,1
54,2,1,0,2,0,0,2428,0,0,0,0,1
80,2,2,1,2,0,0,4763,0,0,0,1,0
62,2,2,1,10,1,0,2113,0,0,1,0,0
66,2,2,0,3,1,0,1818,0,0,1,0,0
80,2,2,1,2,1,0,1956,0,0,0,0,1
30,1,1,1,5,1,1,4534,0,0,0,0,1
50,1,1,0,0,1,0,1625,0,0,0,0,1
81,2,2,1,8,1,1,4386,0,0,0,1,0
218,4,4,4,3,0,0,8935,0,0,0,0,1
54,2,1,2,6,1,0,1562,0,1,0,0,0
60,2,1,0,0,0,0,1219,0,0,0,1,0
100,3,1,1,2,1,0,1366,1,0,0,0,0
156,2,3,2,8,1,1,16090,0,0,0,0,1
300,3,4,3,1,1,1,7051,0,0,0,0,1
39,1,1,1,3,0,1,3327,0,0,0,0,1
150,4,3,4,0,1,0,3546,0,0,0,0,1
140,2,3,4,10,1,1,8966,0,0,0,0,1
240,4,4,3,1,1,0,7846,0,0,0,0,1
70,2,1,0,0,1,0,1390,0,0,0,0,1
462,4,7,4,0,1,0,5666,0,1,0,0,0
67,3,1,1,1,0,0,1293,0,1,0,0,0
100,2,1,0,0,1,0,1283,1,0,0,0,0
113,3,3,1,1,1,0,1553,1,0,0,0,0
99,3,2,1,3,1,0,3012,0,0,0,0,1
120,2,1,1,0,1,0,2307,0,0,0,0,1
110,3,2,3,0,1,0,3040,0,0,0,0,1
38,1,1,1,5,1,0,1388,0,0,1,0,0
100,3,1,1,7,1,0,2197,0,1,0,0,0
135,4,2,2,7,1,0,6101,0,0,0,1,0
130,3,2,1,10,1,1,5080,0,0,0,1,0
80,3,2,1,1,1,0,1643,1,0,0,0,0
300,3,2,5,0,1,0,13670,0,0,0,0,1
72,2,1,2,4,0,0,1610,1,0,0,0,0
70,3,2,2,3,1,0,2783,0,0,0,0,1
395,4,4,3,16,1,1,18160,0,0,0,0,1
540,6,8,3,0,1,0,15730,0,0,1,0,0
318,4,6,4,13,1,1,13740,0,0,0,0,1
42,2,1,1,5,1,0,1109,1,0,0,0,0
52,1,1,1,1,1,0,2054,0,0,0,1,0
167,3,2,1,7,1,0,13310,0,0,0,0,1
50,1,1,0,6,0,0,1813,0,0,0,0,1
65,2,2,1,4,0,0,1470,0,1,0,0,0
140,4,4,3,5,1,0,6029,0,0,0,0,1
92,3,1,1,3,1,0,1965,0,0,0,0,1
150,4,3,3,5,0,0,4837,1,0,0,0,0
60,1,1,0,3,1,0,1642,0,1,0,0,0
308,4,5,6,18,1,1,15850,1,0,0,0,0
159,2,3,1,8,0,1,4596,0,0,0,0,1
240,3,5,4,0,1,0,8072,0,0,0,0,1
65,3,2,0,5,0,0,2251,0,0,1,0,0
200,3,2,2,0,1,0,5243,0,0,0,0,1
130,3,5,2,2,1,0,5035,0,1,0,0,0
21,1,1,0,11,1,0,1735,0,0,0,1,0
68,2,1,1,5,1,0,2288,0,0,0,0,1
40,1,1,0,4,1,0,1402,0,0,1,0,0
310,4,3,6,0,1,0,3338,1,0,0,0,0
103,2,1,1,4,0,0,1793,0,1,0,0,0
30,1,1,0,5,0,1,897,0,1,0,0,0
155,4,5,3,5,0,0,6860,1,0,0,0,0
107,2,2,1,0,1,0,3033,0,0,0,0,1
70,3,1,0,3,0,0,1595,1,0,0,0,0
58,2,2,1,4,1,0,1359,1,0,0,0,0
70,3,2,1,6,0,1,4070,0,0,0,0,1
240,3,3,0,0,1,0,4957,0,0,0,0,1
130,3,2,1,5,1,0,4437,0,0,0,1,0
310,5,6,5,5,1,0,18860,0,0,0,0,1
60,1,1,1,10,1,0,2102,0,0,0,1,0
319,4,6,5,16,0,0,18080,0,0,0,0,1
81,2,1,0,2,1,0,1522,0,0,1,0,0
113,2,2,1,6,1,0,4089,0,0,0,0,1
280,3,4,2,3,0,0,11140,0,0,0,0,1
270,3,3,3,16,1,0,16920,0,0,0,0,1
78,2,1,1,7,1,0,2706,0,0,0,0,1
60,1,2,1,0,1,0,1553,0,0,0,0,1
30,1,1,0,0,1,0,821,0,0,0,0,1
58,2,1,1,10,1,0,1482,0,0,0,1,0
65,1,1,0,2,1,0,2204,0,0,0,1,0
58,1,1,1,1,0,0,2418,0,0,0,0,1
32,1,1,1,13,0,1,4226,0,0,0,0,1
176,3,5,3,3,1,0,7058,0,1,0,0,0
350,7,5,4,0,1,0,7980,1,0,0,0,0
260,4,4,2,5,1,1,7610,0,0,0,0,1
100,2,1,0,0,1,0,2533,0,0,0,0,1
65,1,1,0,10,0,1,4438,0,0,0,1,0
600,7,6,1,12,0,1,17660,0,0,0,1,0
300,4,3,1,0,1,0,5444,0,0,0,1,0
430,4,3,4,0,1,0,10060,0,0,0,0,1
260,5,5,4,20,0,0,14720,0,0,0,0,1
211,3,4,3,0,0,0,8830,1,0,0,0,0
103,3,2,1,9,0,0,2821,0,1,0,0,0
62,2,2,0,2,1,0,2079,0,0,1,0,0
80,2,2,1,1,1,1,4850,0,0,0,1,0
60,1,1,1,0,0,0,1198,0,0,0,0,1
27,1,1,0,5,0,0,4950,0,0,0,0,1
486,4,6,5,8,0,0,13310,0,0,0,0,1
40,1,1,1,12,1,1,2284,0,0,0,0,1
60,2,1,0,7,1,1,3740,0,0,0,1,0
64,2,2,0,10,1,0,2998,0,0,0,1,0
660,5,7,4,17,1,0,16610,0,1,0,0,0
62,3,2,1,5,1,0,2972,0,0,0,0,1
50,2,1,1,3,1,0,1140,0,0,1,0,0
380,3,4,4,0,1,0,9073,0,0,0,0,1
134,3,3,2,7,0,0,3709,0,1,0,0,0
74,2,2,0,4,1,1,4961,0,0,0,0,1
68,2,2,1,5,1,1,3924,1,0,0,0,0
33,1,1,0,2,1,0,2163,0,0,0,1,0
60,2,1,0,0,1,0,1117,0,0,0,0,1
50,1,1,1,25,0,1,4484,0,0,0,0,1
57,2,2,2,6,1,0,2674,0,0,0,0,1
39,1,1,1,4,1,0,1586,0,0,0,0,1
45,1,1,1,1,0,0,802,0,0,1,0,0
221,3,2,2,7,1,0,6738,0,0,0,0,1
140,3,2,0,8,1,1,4697,0,0,0,0,1
650,5,4,2,9,1,0,16270,0,0,0,1,0
210,5,4,1,0,1,0,16890,0,0,0,0,1
100,4,2,3,10,1,0,3900,1,0,0,0,0
220,3,3,2,4,1,1,11980,0,0,0,1,0
42,1,1,0,1,1,0,1592,0,0,0,0,1
98,3,2,0,7,1,0,4115,0,0,0,1,0
150,3,1,2,2,1,0,9268,0,0,0,1,0
170,3,3,4,0,1,0,3775,0,0,0,0,1
60,2,1,0,0,1,0,1636,0,0,0,0,1
120,3,4,2,0,1,0,3838,0,0,0,0,1
142,2,3,2,18,1,0,5487,0,0,0,0,1
90,2,2,1,18,0,0,3121,0,0,1,0,0
140,3,3,2,3,1,0,8977,0,0,0,0,1
26,1,1,0,3,1,0,1567,0,0,0,1,0
20,1,1,0,0,0,0,801,0,0,0,0,1
140,3,2,0,5,1,0,3482,0,0,0,1,0
134,4,2,3,1,0,0,4003,1,0,0,0,0
400,5,4,2,12,1,0,5533,0,0,0,0,1
18,1,1,0,3,1,0,1336,0,0,0,1,0
62,1,1,1,8,1,0,4569,0,0,0,1,0
192,3,3,3,16,1,1,9003,0,0,0,0,1
80,3,2,1,6,1,0,2791,0,0,0,0,1
38,1,1,1,9,1,0,3335,0,0,1,0,0
112,2,3,2,10,1,0,1953,1,0,0,0,0
15,1,1,0,1,0,0,1615,0,0,0,1,0
29,1,1,0,5,1,0,1314,0,0,0,0,1
55,2,1,1,1,1,0,1264,1,0,0,0,0
88,3,1,2,5,1,0,4516,0,0,0,0,1
100,4,1,0,0,1,0,1725,0,0,0,0,1
92,3,2,1,1,1,0,2233,1,0,0,0,0
154,4,2,2,2,1,0,6468,0,0,0,1,0
240,4,3,3,6,1,0,15700,0,0,0,0,1
28,1,1,0,1,1,1,1364,0,0,1,0,0
180,3,3,2,4,1,0,10620,0,0,0,0,1
35,1,1,0,3,0,0,1011,0,0,0,0,1
64,2,1,1,2,1,0,3546,0,0,0,1,0
60,2,1,1,8,1,0,1882,0,0,0,0,1
239,4,4,3,0,1,1,6540,0,0,0,0,1
130,3,2,1,10,0,1,3539,0,0,0,0,1
85,2,2,0,6,0,0,1838,0,1,0,0,0
75,2,2,1,9,1,1,2986,0,0,0,1,0
90,2,2,1,0,1,0,1828,0,0,0,0,1
100,3,1,1,2,1,0,1905,1,0,0,0,0
70,2,2,1,1,0,0,2139,0,0,0,0,1
86,3,1,0,3,1,0,2155,0,0,0,1,0
29,1,1,0,2,1,0,2030,0,0,0,1,0
82,2,2,1,5,1,0,2242,0,0,1,0,0
55,2,1,1,5,1,0,2286,0,0,0,0,1
33,1,1,0,15,0,0,4601,0,0,0,0,1
50,1,1,1,11,0,0,2603,0,1,0,0,0
159,4,2,0,3,1,0,4623,0,0,0,0,1
62,3,2,1,4,0,0,1408,1,0,0,0,0
80,2,1,2,0,1,0,1593,0,0,0,0,1
170,3,4,3,21,1,0,7014,0,0,0,0,1
68,2,2,1,1,1,0,2309,0,0,1,0,0
300,4,4,3,0,1,1,5441,0,0,0,0,1
50,2,1,1,2,1,0,1582,0,0,1,0,0
80,2,2,1,10,1,0,3129,0,0,0,1,0
40,2,1,1,3,1,0,1164,0,0,1,0,0
270,3,4,2,6,1,0,9573,0,0,0,0,1
75,3,1,1,1,1,0,1524,0,0,1,0,0
60,1,2,2,15,1,0,3358,0,0,1,0,0
300,4,5,4,1,1,0,12530,0,0,0,0,1
73,2,1,2,1,1,0,1428,1,0,0,0,0
85,2,1,1,1,1,0,1305,1,0,0,0,0
100,3,3,1,0,1,0,2437,0,0,0,0,1
49,1,1,0,7,1,0,1021,0,0,1,0,0
35,1,1,0,5,1,1,2243,0,0,0,0,1
240,3,4,1,6,0,0,17140,0,0,0,0,1
45,1,1,0,0,1,0,914,0,0,0,0,1
55,2,1,1,9,1,1,3401,0,0,0,0,1
305,4,3,4,6,1,1,16700,0,0,0,0,1
622,5,5,6,0,1,0,11090,1,0,0,0,0
55,2,1,1,2,0,0,1533,1,0,0,0,0
42,1,1,0,12,1,1,3097,0,0,0,1,0
132,3,3,2,2,1,0,1727,1,0,0,0,0
53,2,1,0,6,1,0,1564,1,0,0,0,0
22,1,1,0,4,0,1,2791,0,0,0,0,1
35,1,1,0,12,1,0,1271,0,0,0,1,0
189,4,2,2,4,1,0,10630,0,0,0,0,1
375,4,5,3,0,1,1,9986,0,0,0,0,1
65,2,1,1,3,1,0,1780,0,0,0,0,1
462,4,6,4,0,1,1,9202,0,0,0,0,1
150,2,1,0,1,1,0,2594,0,0,0,0,1
350,2,2,2,0,1,0,4515,0,1,0,0,0
260,4,5,4,15,1,1,11070,0,0,0,0,1
61,1,1,0,0,1,0,1357,0,0,1,0,0
175,4,3,2,0,1,0,2934,0,0,0,0,1
70,2,1,0,0,1,1,2120,0,0,1,0,0
60,2,1,1,10,1,1,2120,0,0,0,1,0
296,6,4,8,0,1,0,5654,0,1,0,0,0
96,2,2,1,10,0,1,4042,0,0,0,1,0
150,4,2,3,2,1,0,11300,0,0,0,0,1
375,4,4,3,0,1,0,6572,0,0,0,0,1
70,3,1,1,1,1,0,2137,0,1,0,0,0
127,4,3,2,4,1,0,6505,0,0,0,0,1
67,2,2,2,3,0,0,3688,1,0,0,0,0
50,1,2,1,1,0,1,4306,0,0,0,0,1
56,2,1,0,4,1,0,2022,0,0,0,1,0
55,2,1,1,19,1,1,2819,0,0,0,0,1
34,1,1,0,0,0,0,960,0,0,0,0,1
68,2,1,0,4,0,0,1488,0,1,0,0,0
80,2,1,0,4,0,0,2200,0,0,0,0,1
120,3,1,1,3,0,0,2553,0,1,0,0,0
50,1,1,1,10,0,0,2352,0,1,0,0,0
78,2,2,1,1,1,0,1775,0,1,0,0,0
90,2,2,1,9,1,0,4809,0,0,0,1,0
320,5,4,6,0,0,0,8716,1,0,0,0,0
560,5,6,4,14,1,0,5990,0,0,0,1,0
25,1,1,0,8,1,0,2499,0,0,0,1,0
37,1,1,0,3,1,0,953,0,0,1,0,0
95,3,1,0,16,1,0,4978,0,0,0,1,0
130,3,3,2,7,1,0,3485,0,0,0,0,1
270,5,4,6,0,1,0,4088,1,0,0,0,0
65,2,2,3,7,1,0,1946,1,0,0,0,0
45,1,1,0,22,0,0,1411,0,0,0,0,1
20,1,1,0,1,0,1,2087,0,0,0,0,1
720,4,5,5,17,1,0,16570,0,0,0,0,1
80,3,2,2,1,1,1,2940,1,0,0,0,0
90,2,1,0,1,1,0,1053,1,0,0,0,0
60,1,2,0,0,1,0,1079,0,0,0,0,1
45,1,1,1,4,0,1,5194,1,0,0,0,0
100,1,2,0,0,0,0,7460,0,0,0,0,1
553,4,6,3,3,0,0,15270,1,0,0,0,0
250,4,3,2,0,1,0,4434,0,0,0,0,1
92,3,2,3,17,1,0,4689,0,1,0,0,0
98,1,2,0,27,1,1,18500,0,0,0,0,1
114,3,2,1,4,1,0,2561,0,1,0,0,0
27,1,1,1,6,0,1,2634,0,0,0,0,1
225,1,2,0,0,1,0,3781,0,0,1,0,0
30,1,1,0,3,1,0,2102,0,0,0,0,1
135,3,3,4,5,1,0,4259,0,0,1,0,0
150,4,3,4,0,0,0,5145,0,1,0,0,0
190,4,2,0,10,1,0,7072,1,0,0,0,0
120,3,1,1,0,1,0,1235,0,0,0,1,0
90,3,2,1,4,1,0,3085,0,0,0,0,1
350,4,5,2,0,0,1,7613,0,0,0,0,1
160,3,4,2,0,1,0,4574,0,0,0,0,1
150,3,2,0,5,1,0,4533,0,0,0,1,0
35,1,1,0,3,1,0,2902,0,0,0,1,0
240,4,4,4,26,1,0,17540,0,0,0,0,1
150,4,2,2,13,0,0,6193,0,0,0,0,1
85,3,2,1,4,1,0,2147,0,1,0,0,0
50,2,1,1,6,1,1,2315,0,0,0,0,1
197,3,3,2,8,1,0,11650,0,0,0,0,1
70,3,2,1,7,1,0,3703,0,0,0,0,1
220,3,2,2,8,1,0,5661,0,0,0,1,0
270,4,3,2,3,1,0,6305,1,0,0,0,0
100,3,2,2,2,1,0,3278,0,0,1,0,0
195,4,6,3,12,1,0,10250,0,0,0,0,1
160,3,3,2,0,1,0,4606,0,0,0,0,1
470,4,6,3,0,1,0,8443,0,0,0,0,1
60,3,2,1,5,1,0,1582,0,1,0,0,0
300,4,4,3,0,1,0,13680,0,0,0,0,1
330,5,6,2,11,1,0,10110,0,0,0,0,1
109,1,2,2,3,1,1,4946,0,0,1,0,0
240,4,5,4,15,1,1,16850,0,0,0,0,1
150,3,2,5,0,1,0,2595,0,0,0,0,1
200,3,2,1,2,1,0,6683,0,0,0,0,1
140,4,3,1,2,1,0,2973,1,0,0,0,0
106,2,2,2,1,0,1,12240,0,0,0,0,1
92,2,2,1,2,1,1,5386,0,0,1,0,0
35,1,1,1,7,1,0,2708,0,0,0,0,1
70,3,2,1,3,1,0,4162,0,0,0,0,1
74,2,1,2,9,1,1,8208,0,0,0,0,1
69,2,2,2,5,1,0,2988,0,0,0,0,1
50,1,1,0,0,0,0,843,0,0,0,0,1
450,5,3,6,0,1,0,4939,0,0,1,0,0
68,2,1,0,5,1,0,2006,0,0,0,1,0
71,1,1,1,11,1,0,4927,0,0,0,0,1
69,2,1,1,9,1,1,1944,0,0,0,1,0
32,1,1,1,9,1,0,1843,1,0,0,0,0
57,2,1,1,8,1,1,2223,0,0,0,0,1
28,1,1,0,1,1,1,2800,0,0,0,0,1
39,1,1,0,8,1,1,2326,0,0,0,0,1
140,3,3,0,2,1,0,2600,0,0,1,0,0
160,3,3,2,0,1,0,4777,0,0,0,0,1
235,3,3,1,3,1,0,8376,0,0,0,0,1
171,3,2,1,13,1,0,3728,0,0,0,0,1
139,3,2,2,1,1,0,8665,0,0,0,1,0
160,4,3,2,5,1,0,3324,1,0,0,0,0
60,2,1,1,0,1,0,1356,0,1,0,0,0
134,3,3,3,8,1,0,4207,0,0,0,0,1
70,2,1,1,11,1,0,2340,1,0,0,0,0
57,2,1,0,1,1,0,1650,0,0,0,1,0
240,3,3,4,6,1,1,10000,0,0,0,0,1
50,1,1,0,0,0,0,847,0,0,0,0,1
120,3,2,1,8,1,0,5256,0,0,0,1,0
200,3,3,4,2,1,0,4378,0,0,1,0,0
572,6,6,4,0,1,1,10280,0,0,0,0,1
145,2,2,1,1,1,1,5514,0,0,0,0,1
70,2,1,2,1,0,0,1393,1,0,0,0,0
85,2,2,1,2,1,1,12460,0,0,0,1,0
140,3,2,0,2,0,0,3242,1,0,0,0,0
260,4,5,5,6,1,0,17330,0,0,0,0,1
211,4,4,4,2,1,0,6008,0,0,0,0,1
58,2,1,1,2,1,0,939,0,1,0,0,0
110,1,1,2,3,1,0,6835,0,0,0,1,0
72,2,2,0,10,1,0,2410,0,0,0,0,1
68,1,2,1,5,1,0,7346,0,0,0,0,1
100,3,3,2,8,1,0,3997,0,0,0,1,0
240,3,2,0,7,1,1,8744,0,0,0,0,1
104,3,1,0,6,1,0,4525,0,0,0,1,0
70,1,1,1,2,1,1,1981,0,1,0,0,0
67,1,1,1,14,1,1,3625,0,0,0,0,1
160,4,2,5,0,1,1,4009,1,0,0,0,0
140,3,3,5,8,0,1,10810,0,0,0,0,1
38,1,1,0,3,0,0,1151,0,1,0,0,0
34,1,1,0,12,1,0,3164,0,0,0,0,1
54,2,1,0,7,1,0,2562,0,0,0,0,1
54,1,1,1,1,0,1,8592,0,0,0,0,1
200,3,2,4,0,1,0,4053,0,0,0,0,1
107,3,2,2,1,1,0,4105,0,0,0,0,1
70,2,2,0,11,1,0,2526,0,0,0,1,0
86,2,1,1,5,1,0,3350,0,0,0,0,1
30,1,1,1,0,1,0,1525,0,0,0,1,0
108,3,2,1,3,1,1,2945,0,0,1,0,0
250,4,3,4,0,1,0,2895,0,0,0,0,1
80,2,1,0,4,1,0,3060,0,0,0,0,1
73,2,1,1,8,1,0,2137,0,0,0,1,0
45,1,1,1,3,1,0,1545,0,0,1,0,0
255,4,4,0,15,1,1,8016,0,0,0,0,1
217,4,3,4,12,1,0,9901,1,0,0,0,0
70,1,1,0,2,1,0,2366,0,0,0,0,1
25,1,1,0,1,0,0,897,0,0,0,0,1
110,3,3,0,1,1,0,3773,0,0,1,0,0
80,2,2,1,12,1,0,11440,0,0,0,0,1
260,3,5,0,0,1,0,9770,0,0,0,0,1
50,2,2,1,10,1,0,3441,0,0,0,0,1
60,2,1,1,1,0,0,1271,0,1,0,0,0
400,3,6,6,0,1,1,6973,0,0,0,0,1
113,2,1,1,4,1,0,4089,0,0,0,0,1
400,4,4,6,8,1,0,13750,0,0,0,0,1
64,2,2,2,6,1,0,2783,0,0,1,0,0
82,2,1,2,10,1,1,5493,0,0,0,0,1
65,2,1,3,9,1,0,3043,0,0,0,0,1
128,4,3,2,3,1,0,6557,0,0,1,0,0
38,1,1,0,1,0,0,1023,0,0,0,0,1
175,3,2,0,0,0,0,2031,0,1,0,0,0
107,3,3,2,3,1,0,6575,0,0,0,0,1
257,4,3,2,3,1,1,7808,0,0,0,1,0
35,1,1,1,2,0,1,3872,0,0,0,0,1
463,4,7,6,0,1,0,13450,0,0,0,0,1
40,2,1,0,7,1,0,1322,0,0,0,1,0
297,4,2,3,6,1,0,4094,1,0,0,0,0
137,3,3,1,9,1,1,7120,0,0,0,0,1
35,1,1,0,10,0,0,1794,0,0,0,1,0
128,3,3,1,8,1,1,4738,0,0,0,1,0
59,2,1,1,2,1,0,1527,1,0,0,0,0
400,4,4,2,0,1,0,13640,0,0,0,1,0
100,3,2,1,5,0,0,5663,0,0,0,1,0
50,1,1,0,10,1,1,2994,0,0,0,1,0
80,2,2,1,5,1,1,2788,0,0,1,0,0
68,2,2,2,4,1,0,2056,1,0,0,0,0
32,1,1,1,22,1,1,4442,0,0,0,0,1
161,3,3,3,14,1,0,6498,0,0,0,1,0
85,2,2,0,0,1,0,1726,0,0,0,0,1
100,2,2,0,0,1,0,2812,0,0,0,0,1
136,3,4,3,7,1,0,6581,0,0,0,0,1
362,4,5,2,0,1,0,7940,0,0,0,0,1
276,3,3,4,15,1,1,11830,0,0,0,0,1
22,1,1,0,2,0,0,1447,0,0,0,1,0
60,2,1,0,1,1,0,1151,0,0,1,0,0
500,4,7,8,0,1,0,10560,0,0,0,0,1
65,1,1,1,3,1,0,1459,0,0,1,0,0
56,2,1,1,11,1,0,2983,0,0,0,0,1
35,1,1,1,4,0,1,3186,0,0,0,0,1
98,3,2,2,4,0,0,3388,0,0,1,0,0
45,1,1,0,1,0,0,995,0,0,0,0,1
48,2,1,1,2,1,0,1147,0,0,1,0,0
48,1,1,1,4,1,1,2052,0,1,0,0,0
114,2,3,1,1,1,1,8168,0,0,0,0,1
197,4,2,3,3,1,0,5557,1,0,0,0,0
200,4,1,2,4,1,0,3088,1,0,0,0,0
110,3,2,0,0,1,0,2541,1,0,0,0,0
300,2,4,2,0,1,0,6510,0,0,0,0,1
120,3,1,1,6,0,0,3206,1,0,0,0,0
40,1,1,0,3,1,1,1516,0,0,1,0,0
92,2,1,1,7,0,1,4691,0,0,0,0,1
140,3,2,2,3,1,0,7793,0,0,0,0,1
244,4,3,4,2,1,0,11550,0,0,0,0,1
59,2,1,0,3,1,0,1383,0,0,1,0,0
35,1,1,0,3,1,0,832,0,0,0,1,0
120,3,2,3,16,1,0,3718,0,0,0,0,1
248,4,5,4,1,0,0,11970,0,0,0,0,1
63,2,2,1,17,1,0,2522,0,0,0,0,1
45,1,1,1,8,1,0,2689,0,0,0,0,1
129,2,3,2,16,1,1,3848,0,0,0,0,1
300,3,3,8,0,1,0,5146,0,0,0,0,1
29,1,1,1,4,0,1,2996,0,0,0,0,1
100,3,2,1,2,1,0,2182,1,0,0,0,0
153,4,3,3,3,1,0,8770,0,0,0,0,1
87,2,1,1,4,1,0,2048,0,1,0,0,0
75,1,1,2,8,1,1,8388,0,0,0,0,1
300,4,4,2,3,1,0,18350,0,0,0,1,0
48,1,1,0,4,1,0,1351,0,0,1,0,0
71,2,1,1,7,1,0,1774,0,1,0,0,0
84,4,1,3,5,0,0,8795,0,0,0,0,1
208,3,4,3,0,0,0,4019,0,0,0,0,1
100,1,2,1,13,0,0,7945,0,0,0,0,1
84,3,2,2,7,1,1,2839,0,0,0,0,1
145,4,3,2,1,1,0,7005,0,0,0,0,1
300,4,3,2,0,1,1,16270,0,0,0,0,1
65,2,2,1,12,0,1,7307,0,0,0,0,1
27,1,1,0,0,0,0,849,0,0,0,0,1
102,3,2,1,2,1,0,3408,0,0,0,1,0
60,2,1,1,1,0,1,3334,0,1,0,0,0
60,1,1,0,1,1,0,1605,0,0,1,0,0
50,1,1,0,10,1,0,2161,0,0,0,1,0
97,3,1,1,10,1,0,3117,0,0,0,0,1
52,1,2,1,19,1,0,6374,0,0,0,0,1
373,4,4,3,12,1,0,18830,0,0,0,0,1
157,4,3,2,0,1,0,7200,0,0,0,0,1
